1412329801;AK;959
1412329801;AL;6100
1412329801;AR;
1412329801;AS;3
1412329801;AZ;
1412329801;CA;
1412329801;CO;17812
1412329801;CT;
1412329801;DC;
1412329801;DE;1972
1412329801;FL;
1412329801;GA;23958
1412329801;GU;
1412329801;HI;
1412329801;IA;
1412329801;ID;3675
1412329801;IL;
1412329801;IN;8852
1412329801;KS;4088
1412329801;KY;
1412329801;LA;
1412329801;MA;
1412329801;MD;
1412329801;ME;
1412329801;MI;15615
1412329801;MN;
1412329801;MO;
1412329801;MP;
1412329801;MS;2557
1412329801;MT;2038
1412329801;NC;
1412329801;ND;
1412329801;NE;
1412329801;NH;
1412329801;NJ;
1412329801;NM;3100
1412329801;NV;9401
1412329801;NY;
1412329801;OH;16557
1412329801;OK;6711
1412329801;OR;
1412329801;PA;
1412329801;PR;
1412329801;RI;
1412329801;SC;10967
1412329801;SD;902
1412329801;TN;
1412329801;TX;42358
1412329801;UT;6197
1412329801;VA;
1412329801;VI;147
1412329801;VT;1333
1412329801;WA;
1412329801;WI;7961
1412329801;WV;
1412329801;WY;811
